ЕдиницаИзмерения;ЕдиницаИзмеренияМест;Количество;КоличествоМест;Коэффициент;Номенклатура;ПлановаяСебестоимость;ПроцентСкидкиНаценки;Размещение;СтавкаНДС;Сумма;СуммаНДС;ХарактеристикаНоменклатуры;Цена;ПроцентАвтоматическихСкидок;УсловиеАвтоматическойСкидки;ЗначениеУсловияАвтоматическойСкидки;Спецификация;КлючСтроки;СерияНоменклатуры;Длина;Ширина;Кво;НомерА;СкладОтгрузки
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:990a28924a2d290d11e44d232dd5f907};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",34.415};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:990a28924a2d290d11e44d232dd5f905};{"N",0};{"N",0};{"U"};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",4140.12};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",120.3};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",1};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",3.615};{"N",1.19};{"N",8};{"S",""};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:88d8d43d7e95a4a111e3987980f2d8f9}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:990a28924a2d290d11e44d232dd5f907};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",11.995};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:990a28924a2d290d11e44d232dd5f905};{"N",0};{"N",0};{"U"};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",1443};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",120.3};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",10};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",1.26};{"N",1.19};{"N",8};{"S",""};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:88d8d43d7e95a4a111e3987980f2d8f9}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:88d8d43d7e95a4a111e37911d6dffe30};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",6};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:88d8d43d7e95a4a111e37911d6dffe2e};{"N",0};{"N",0};{"U"};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",810};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",135};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",2};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",2};{"N",0.25};{"N",6};{"S","8014"};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:a9a6d43d7e95a4a111e351313aa882e5}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:b4c028924a2d290d11e6734796861cfa};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",5};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:b4c028924a2d290d11e6734796861cf8};{"N",0};{"N",0};{"U"};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",700};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",140};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",3};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",2};{"N",0.25};{"N",5};{"S","8014"};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:a9a6d43d7e95a4a111e351313aa882e5}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:990a28924a2d290d11e43f3e1c0118f1};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",5};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:990a28924a2d290d11e43f3e1c0118ef};{"N",0};{"N",0};{"U"};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",700};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",140};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",4};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",2};{"N",0.24};{"N",5};{"S","8014"};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:a9a6d43d7e95a4a111e351313aa882e5}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:aa95d43d7e95a4a111e300b867452593};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",4};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:aa95d43d7e95a4a111e300b867452591};{"N",0};{"N",0};{"U"};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",400};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",100};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",5};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",2};{"N",0.12};{"N",4};{"S","8014"};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:a9a6d43d7e95a4a111e351313aa882e5}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:a9a6d43d7e95a4a111e34df1b9c96a32};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",16};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:a9a6d43d7e95a4a111e34df1b9c96a30};{"N",0};{"N",0};{"U"};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",1600};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",100};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",6};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",2};{"N",0.12};{"N",16};{"S","8014"};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:a9a6d43d7e95a4a111e351313aa882e5}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:b45c28924a2d290d11e40759f5ad5956};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",5};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:b45c28924a2d290d11e40759f5ad5954};{"N",0};{"N",0};{"U"};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",750};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",150};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",7};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",2};{"N",0.25};{"N",5};{"S","8014"};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:a9a6d43d7e95a4a111e351313aa882e5}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:904e801f02259a1811e1ccac38b957e3};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",5};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:904e801f02259a1811e1ccac38b957e2};{"N",0};{"N",0};{"U"};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",1083.35};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",216.67};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",8};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",2};{"N",0.41};{"N",5};{"S","8014"};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:a9a6d43d7e95a4a111e351313aa882e5}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:921328924a2d290d11e6fe841dfec9d3};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"N",500};{"N",0};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:921328924a2d290d11e6fe841dfec9d1};{"N",0};{"N",0};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:a559f46d0403d14511e153c206071751};{"#",52c49a35-3374-4995-9803-5fc37bb7d7cf,593:8540419f4ca125b141cfbf05c518610d};{"N",435};{"N",0};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",0.87};{"N",0};{"#",a680b853-73f7-40fd-9d99-d5b0457c8145,632:00000000000000000000000000000000};{"U"};{"#",42883701-16d4-4c6f-a8dc-16f352245559,138:00000000000000000000000000000000};{"N",9};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000};{"N",0};{"N",0};{"N",0};{"S",""};{"#",6896b257-d719-4862-b17d-45711cc3c5d0,132:a559f46d0403d14511e153c206071751}
